10.200.150.2  domain domain Unknown_TCP_Service Unknown_TCP_Service
192.168.2.65  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.66  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service whois
192.168.2.67  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.68  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.69  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.70  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.71  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.72  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.73  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.74  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.75  auth domain ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.76  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.77  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.78  auth domain epmap epmap ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.79  auth domain domain epmap epmap ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.80  auth domain domain epmap epmap ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.81  auth domain domain epmap epmap ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.82  auth domain domain epmap epmap ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.83  auth domain domain epmap epmap ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.84  auth domain domain epmap epmap ftp http https ldap ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.85  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.86  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.87  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.88  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.89  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.90  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.91  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.92  auth domain epmap epmap ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.93  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.94  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.95  auth domain epmap epmap ftp http https kerberos kerberos ldap ldap ldaps microsoft-ds microsoft-ds netbios-ssn netbios-ssn printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.96  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.97  auth domain epmap epmap ftp http https ldap ldaps microsoft-ds microsoft-ds netbios-ssn printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.98  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.99  auth domain ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.100  auth domain ftp http https kerberos kerberos ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.101  auth domain ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.102  auth domain domain ftp http https kerberos kerberos ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.103  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.104  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.105  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.106  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.107  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.108  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.109  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.110  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.111  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.112  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.113  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.114  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.115  auth domain ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.116  auth domain ftp http https ldap ldaps printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.117  auth domain epmap epmap ftp http https kerberos kerberos ldap ldap ldaps microsoft-ds microsoft-ds netbios-ssn netbios-ssn printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.118  auth domain ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.119  auth domain ftp http https ldap ldaps microsoft-ds microsoft-ds printer rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.120  domain domain kerberos kerberos ldap ldap microsoft-ds microsoft-ds Unknown_TCP_Service Unknown_TCP_Service
192.168.2.121  domain domain kerberos kerberos ldap ldap microsoft-ds microsoft-ds Unknown_TCP_Service Unknown_TCP_Service
192.168.2.122  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.123  domain domain epmap epmap ldap ldap microsoft-ds microsoft-ds netbios-ssn netbios-ssn Unknown_TCP_Service Unknown_TCP_Service
192.168.2.124  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.125  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.126  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.127  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.128  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.130  Unknown_TCP_Service
192.168.2.131  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.132  Unknown_TCP_Service
192.168.2.133  microsoft-ds microsoft-ds Unknown_TCP_Service Unknown_TCP_Service
192.168.2.134  microsoft-ds microsoft-ds Unknown_TCP_Service Unknown_TCP_Service
192.168.2.137  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.138  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.139  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.140  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.141  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.145  epmap epmap ldap ldap microsoft-ds microsoft-ds netbios-ssn netbios-ssn Unknown_TCP_Service Unknown_TCP_Service
192.168.2.146  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.147  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.148  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.150  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.153  domain domain microsoft-ds microsoft-ds Unknown_TCP_Service Unknown_TCP_Service
192.168.2.154  microsoft-ds microsoft-ds Unknown_TCP_Service Unknown_TCP_Service
192.168.2.155  Unknown_TCP_Service
192.168.2.156  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.158  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.159  Unknown_TCP_Service Unknown_TCP_Service
192.168.2.171  afpovertcp auth bgp chargen cmip-man daytime discard domain domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos kerberos-adm klogin kpasswd kshell ldap ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.172  afpovertcp auth bgp chargen cmip-man discard domain domain epmap exec ftp ftp-data ftps http https imaps kerberos kerberos kerberos-adm klogin ldap ldap ldaps ldp login moira-update netbios-ssn nntps pop3 poppassd qotd rsync rtsp smtp smux snpp ssh submission submissions sunrpc svrloc tcpmux telnet time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.173  auth domain domain ftp http https ipp ldap ldaps rtsp smtp ssh telnet Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.2.255  Unknown_TCP_Service
Destination  IP
Host  IP
Source  IP
